date,flag,value
2021-12-08,Indonesia,34
2021-12-08,Panama,1
2021-12-08,Malaysia,1
2021-12-08,Russia,0
2021-12-08,Liberia,0
2021-12-08,Marshall Is,0
2021-12-08,Korea,0
2021-12-08,Singapore,0
2021-12-08,Hong Kong,0
2021-12-08,China,0
2021-12-08,Tuvalu,0
2021-12-09,Indonesia,53
2021-12-09,Panama,2
2021-12-09,Malaysia,1
2021-12-09,Russia,0
2021-12-09,Liberia,0
2021-12-09,Marshall Is,0
2021-12-09,Korea,0
2021-12-09,Singapore,0
2021-12-09,Hong Kong,0
2021-12-09,China,0
2021-12-09,Tuvalu,0
2021-12-10,Indonesia,46
2021-12-10,Panama,2
2021-12-10,Malaysia,0
2021-12-10,Russia,1
2021-12-10,Liberia,0
2021-12-10,Marshall Is,0
2021-12-10,Korea,0
2021-12-10,Singapore,0
2021-12-10,Hong Kong,0
2021-12-10,China,0
2021-12-10,Tuvalu,0
2021-12-11,Indonesia,31
2021-12-11,Panama,0
2021-12-11,Malaysia,0
2021-12-11,Russia,0
2021-12-11,Liberia,1
2021-12-11,Marshall Is,0
2021-12-11,Korea,0
2021-12-11,Singapore,0
2021-12-11,Hong Kong,0
2021-12-11,China,0
2021-12-11,Tuvalu,0
2021-12-12,Indonesia,30
2021-12-12,Panama,0
2021-12-12,Malaysia,0
2021-12-12,Russia,1
2021-12-12,Liberia,0
2021-12-12,Marshall Is,1
2021-12-12,Korea,0
2021-12-12,Singapore,0
2021-12-12,Hong Kong,0
2021-12-12,China,0
2021-12-12,Tuvalu,0
2021-12-13,Indonesia,15
2021-12-13,Panama,2
2021-12-13,Malaysia,0
2021-12-13,Russia,0
2021-12-13,Liberia,0
2021-12-13,Marshall Is,0
2021-12-13,Korea,0
2021-12-13,Singapore,0
2021-12-13,Hong Kong,0
2021-12-13,China,0
2021-12-13,Tuvalu,0
2021-12-14,Indonesia,24
2021-12-14,Panama,0
2021-12-14,Malaysia,0
2021-12-14,Russia,0
2021-12-14,Liberia,0
2021-12-14,Marshall Is,0
2021-12-14,Korea,1
2021-12-14,Singapore,0
2021-12-14,Hong Kong,0
2021-12-14,China,0
2021-12-14,Tuvalu,0
2021-12-15,Indonesia,20
2021-12-15,Panama,0
2021-12-15,Malaysia,0
2021-12-15,Russia,0
2021-12-15,Liberia,0
2021-12-15,Marshall Is,0
2021-12-15,Korea,0
2021-12-15,Singapore,0
2021-12-15,Hong Kong,0
2021-12-15,China,0
2021-12-15,Tuvalu,0
2021-12-16,Indonesia,44
2021-12-16,Panama,3
2021-12-16,Malaysia,0
2021-12-16,Russia,0
2021-12-16,Liberia,1
2021-12-16,Marshall Is,0
2021-12-16,Korea,1
2021-12-16,Singapore,1
2021-12-16,Hong Kong,0
2021-12-16,China,0
2021-12-16,Tuvalu,0
2021-12-17,Indonesia,63
2021-12-17,Panama,1
2021-12-17,Malaysia,0
2021-12-17,Russia,0
2021-12-17,Liberia,1
2021-12-17,Marshall Is,0
2021-12-17,Korea,0
2021-12-17,Singapore,0
2021-12-17,Hong Kong,1
2021-12-17,China,2
2021-12-17,Tuvalu,1
2021-12-18,Indonesia,52
2021-12-18,Panama,0
2021-12-18,Malaysia,0
2021-12-18,Russia,0
2021-12-18,Liberia,0
2021-12-18,Marshall Is,1
2021-12-18,Korea,0
2021-12-18,Singapore,1
2021-12-18,Hong Kong,0
2021-12-18,China,2
2021-12-18,Tuvalu,0
2021-12-19,Indonesia,43
2021-12-19,Panama,0
2021-12-19,Malaysia,0
2021-12-19,Russia,0
2021-12-19,Liberia,0
2021-12-19,Marshall Is,2
2021-12-19,Korea,0
2021-12-19,Singapore,0
2021-12-19,Hong Kong,0
2021-12-19,China,0
2021-12-19,Tuvalu,1
